"id","m2","habitaciones","estrato","antiguedad","precio"
"V0440",56.4,3,5,20,354.2
"V0441",80.2,2,5,6,486.8
"V0442",138.9,4,5,8,692.1
"V0443",167.7,5,2,14,783.5
"V0445",194,6,6,15,945.8
"V0446",163.2,4,4,19,747.9
"V0447",173.3,4,5,15,872.7
"V0448",53.7,1,4,11,247.1
"V0449",94.8,4,3,8,457.8
"V0450",156.3,5,2,6,716.5
"V0451",127.1,4,4,15,604.3
"V0453",71.9,2,3,11,342.1
"V0454",36.3,1,3,19,231.1
"V0455",71.1,3,3,46,314.1
"V0456",198.6,6,2,38,874.7
"V0457",183.3,5,6,9,887.7
"V0458",170.8,5,4,17,788.8
"V0459",55.2,2,4,8,306.4
"V0460",49.3,2,5,18,300.2
"V0461",215.1,6,4,12,1061.8
"V0462",110,3,4,14,496.8
"V0463",115.5,4,3,7,571
"V0464",57.2,2,3,25,277.8
"V0465",139.1,4,2,11,655.7
"V0466",77.8,2,5,9,386.9
"V0467",69.9,1,2,11,337.1
"V0468",159.8,5,3,13,719.1
"V0469",80.2,2,4,32,415.1
"V0470",183,6,3,6,835.3
"V0471",43.3,2,5,52,230.2
"V0472",185.3,5,5,8,838.6
"V0473",108.3,2,3,13,531.8
"V0474",172.4,5,4,3,866.6
"V0475",154.2,5,6,8,800.5
"V0476",111.7,3,6,19,609.1
"V0477",147.3,5,2,16,639.4
"V0478",25.1,1,2,15,125.9
"V0479",67.4,2,3,9,339
"V0480",162.5,4,5,4,824.7
"V0481",67,3,5,6,366.7
"V0482",183.7,5,4,10,872.6
"V0483",85,3,2,17,449.2
"V0484",159.1,3,2,20,762.7
"V0485",206.9,6,4,10,930.4
"V0486",47.6,1,6,11,283.9
"V0487",49.9,1,3,11,231
"V0488",157.3,5,5,12,862.4
"V0490",187.7,4,5,8,947.7
"V0491",214.4,6,3,11,1003.9
"V0492",38.7,1,3,13,212
"V0494",161.8,5,4,7,778.2
"V0496",218.6,6,5,16,1062.7
"V0497",74.4,2,4,24,325
"V0498",34.7,2,6,9,222.3
"V0499",158.8,5,4,29,735.7
"V0500",178.5,5,5,7,857.5
"V0501",94,3,3,5,496
"V0502",96.5,3,4,4,535.7
"V0503",81,2,3,23,363.4
"V0504",40.6,1,6,14,277.7
"V0505",96.3,3,2,11,419.5
"V0506",59.7,2,3,10,288.9
"V0507",129.5,3,6,31,656.9
"V0508",123.3,4,2,25,559.2
"V0509",209.3,5,3,7,960.8
"V0510",91.6,3,2,5,400.5
"V0511",115.6,3,5,23,567.4
"V0512",41.1,2,3,17,217.9
"V0513",192.7,6,3,9,921.8
"V0514",102.2,2,5,15,496.6
"V0515",168.5,6,2,4,802.7
"V0516",58.5,2,3,8,266.9
"V0517",113.7,3,5,16,557.5
"V0518",175.2,5,5,11,868.1
"V0519",37.2,2,5,6,216.8
"V0520",183.9,4,6,22,876.6
"V0521",83.7,2,2,24,386
"V0522",96.1,2,2,7,457.9
"V0523",85.9,3,4,11,465.8
"V0524",32.3,1,3,19,168.1
"V0525",126.2,3,6,20,590.9
"V0526",157.4,6,6,9,771.4
"V0527",201.1,6,5,7,955.4
"V0528",30,1,2,15,125
"V0529",217.9,6,5,4,1062
"V0530",84.1,1,4,7,507.9
"V0531",208.1,6,3,19,990.1
"V0532",159.1,4,3,4,753.1
"V0533",112.2,4,3,6,560.2
"V0535",32.7,1,5,10,204.9
"V0536",169.1,4,4,4,837.7
"V0537",93,2,4,16,482.6
"V0539",129.4,5,3,11,620.2
"V0540",78.5,2,2,11,394
"V0541",181.2,5,2,18,830.2
"V0542",42.9,1,5,12,248.3
"V0544",79,2,4,32,398.6
"V0545",171.9,5,4,15,819.9
"V0546",213,6,2,17,963.7
"V0547",40.9,1,3,16,221.5
"V0548",191.6,6,4,17,885.4
"V0549",181.4,5,5,27,845.6
"V0550",100.1,3,4,12,542.1
"V0551",88.9,3,4,14,422.4
"V0552",65,1,4,39,330.8
"V0553",136,4,2,9,605.7
"V0554",198.2,6,2,26,894.2
"V0555",128.3,5,4,8,642.7
"V0556",139.5,4,5,33,646.1
"V0557",154.8,4,3,8,753.1
"V0558",128.3,4,5,7,653.3
"V0559",124.4,3,4,22,592.7
"V0560",28.2,1,6,21,207.5
"V0561",34.3,1,4,17,203
"V0562",206.2,6,4,14,951.5
"V0563",175,5,4,14,794.4
"V0564",64.2,2,3,41,304.3
"V0565",151.8,4,5,5,724
"V0566",152.5,3,4,7,739.6
"V0567",102.1,3,3,6,450.2
"V0568",183.4,6,3,21,825.6
"V0569",131.7,3,3,10,637.8
"V0570",197.6,6,6,11,1001.8
"V0571",132.9,4,4,35,635.1
"V0572",201.7,6,2,8,901.4
"V0573",139.6,3,4,40,643.7
"V0574",107.6,3,4,5,573
"V0575",210.2,6,3,26,985.7
"V0576",163.3,5,2,15,776.5
"V0577",105.6,3,4,10,557.1
"V0578",28.6,1,4,11,191.2
"V0579",135.5,3,4,27,681.4
"V0580",120.6,3,4,33,547.1
"V0581",196.3,6,2,4,919.1
"V0582",183.5,5,2,93,771.2
"V0583",191.5,5,5,56,898
"V0584",96.7,2,2,9,497.7
"V0585",195.4,6,4,12,944.8
"V0586",54.5,2,3,8,265
"V0587",80,2,3,11,385.7
"V0589",215.6,6,3,13,1002.1
"V0591",127.7,3,4,29,635.2
"V0592",36.9,2,5,3,223.9
"V0593",214,6,4,9,1037.1
"V0594",48.4,1,2,13,259
"V0596",196.7,6,4,23,969.5
"V0597",124.1,3,2,9,582.1
"V0598",90.8,4,2,9,411.8
"V0599",199.4,5,5,24,955.3
"V0600",31.2,1,5,20,169.7
"V0601",71.3,2,3,11,376.6
"V0602",158.9,4,4,10,740.2
"V0603",69,3,5,5,420.3
"V0604",87.1,2,3,8,368.3
"V0605",58.9,2,2,57,216.1
"V0606",181.3,6,5,12,871.1
"V0607",53.5,1,3,21,247.9
"V0609",89.5,2,5,17,462.3
"V0610",98,3,4,12,502
"V0611",147.8,4,4,27,724.7
"V0612",43.8,1,2,9,224.5
"V0613",29.3,1,3,4,202.5
"V0614",218.6,5,3,21,1025.1
"V0615",138.9,4,3,10,683
"V0616",177.5,6,5,29,806
"V0617",198.9,4,5,13,925.9
"V0618",172.2,4,4,29,744.9
"V0619",215.9,5,5,15,1027
"V0621",201.2,6,3,19,905.8
"V0622",193.8,5,3,9,919.4
"V0623",176.2,4,4,33,839.7
"V0624",98.5,2,4,13,500
"V0625",33.2,1,4,4,197.7
"V0626",96.1,3,3,9,451.7
"V0627",78.4,1,5,5,404.7
"V0628",190.8,6,3,3,901.7
"V0629",95.7,3,6,12,550
"V0630",84.4,3,3,18,386.6
"V0631",173,4,4,8,828.4
"V0632",189.7,6,5,5,927.6
"V0633",114.3,3,3,8,576.7
"V0634",167.3,4,6,5,831.9
"V0635",45.3,1,5,18,283.6
"V0636",67.9,1,3,17,292
"V0637",211,6,3,5,1012.1
"V0638",171.6,5,4,8,828.7
"V0639",184.7,6,5,22,855.7
"V0640",106.5,4,3,11,445.5
"V0641",140.8,4,3,12,658
"V0642",180.8,6,2,15,851.7
"V0643",198.2,6,4,17,947.9
"V0644",100.1,2,4,25,479.5
"V0645",42.6,1,2,19,208
"V0646",147,5,4,5,722.2
"V0647",170.4,5,2,10,766.2
"V0648",41.6,2,4,14,237.6
"V0649",83.6,3,2,11,400.8
"V0650",144.8,4,2,3,657.5
"V0651",171.8,6,6,8,862.6
"V0652",203.8,6,3,22,953.8
"V0653",117.8,4,3,13,580.5
"V0654",135.6,4,6,5,717.5
"V0655",168.6,6,3,14,804.8
"V0657",202.3,5,5,18,968.1
"V0658",36,1,5,42,216.9
"V0659",123.1,3,2,5,541.9
"V0660",93.4,3,3,9,477.7
"V0661",189.9,6,3,11,874.7
"V0663",47.9,1,3,12,233.1
"V0664",164,4,5,8,720
"V0665",70.9,2,3,46,368.4
"V0666",39.6,2,2,2,188.6
"V0667",207.5,6,6,29,1018.3
"V0668",55.6,3,3,22,284.4
"V0669",151.2,4,4,19,758.1
"V0670",58.8,2,6,13,317.1
"V0671",28.9,1,3,8,133
"V0672",126.7,4,2,23,613.7
"V0673",41.8,1,5,7,228.7
"V0674",80.2,2,3,18,345.5
"V0675",107,3,4,15,552.8
"V0676",139.5,4,4,23,667.4
"V0677",182.3,5,5,8,957.3
"V0678",64.4,3,3,8,338.7
"V0679",114.6,3,4,14,553.9
"V0680",112.4,3,4,14,535.8
"V0681",168.1,4,2,27,815.4
"V0682",164.4,5,2,16,720.6
"V0683",187.1,5,4,13,910.1
"V0684",197.9,4,2,20,921.4
"V0685",210.8,5,4,9,984.2
"V0686",132.4,4,5,23,698.5
"V0687",126.9,3,4,6,603.8
"V0688",58.3,1,5,15,324.8
"V0689",118.5,2,5,4,616.7
"V0690",74.5,2,3,14,438.7
"V0691",32.8,1,4,5,222.1
"V0692",148.8,5,3,10,758.5
"V0693",130.2,4,3,4,605.8
"V0694",52.3,3,4,8,236.6
"V0695",80.3,2,5,8,456.6
"V0696",138.7,4,4,17,621.7
"V0697",57.2,2,4,8,270.7
"V0699",108.6,3,3,25,512
"V0700",94.4,3,5,33,498.8
"V0701",189.8,5,5,23,953.7
"V0702",75.7,2,6,5,454
"V0703",29.5,1,6,26,213.4
"V0704",193.2,6,6,6,971.2
"V0705",90.2,3,5,11,476.4
"V0706",148.2,5,2,19,733
"V0707",131.6,3,6,11,675
"V0708",98.4,3,4,11,518.2
"V0709",61.2,1,5,13,311.8
"V0710",108.6,3,4,16,537.1
"V0711",148,5,3,15,639.1
"V0712",126.6,3,2,4,600.7
"V0713",153.6,5,4,11,697.8
"V0714",167.2,4,4,14,797.2
"V0715",119.9,3,4,17,578.7
"V0716",100,3,2,10,501.2
"V0717",26.3,1,3,8,137.7
"V0718",25.7,1,5,5,166.7
"V0720",46,2,4,11,276.8
"V0721",106.6,3,3,8,551
"V0722",165,3,3,17,767.1
"V0723",169.8,6,2,15,826.5
"V0724",195,6,5,5,936.2
"V0725",143.5,4,4,15,663.7
"V0726",172.5,6,3,17,814.5
"V0727",190.2,6,3,10,913.5
"V0728",144.5,4,5,12,670.8
"V0730",29.5,1,3,10,171.1
"V0731",106.3,3,3,7,532.2
"V0732",195.6,6,6,15,887.9
"V0733",151.2,4,5,6,699.4
"V0734",205.3,6,5,8,1001.7
"V0735",58.6,2,4,7,344.8
"V0736",86.6,1,3,7,417.7
"V0737",181.8,6,5,10,921.1
"V0738",217.8,5,3,9,999.5
"V0739",87.9,2,3,8,429.1
"V0740",25.2,1,4,10,205.9
"V0741",218.5,6,3,5,1021.8
"V0742",53.9,3,6,13,322.9
"V0743",34.6,1,4,18,174.3
"V0744",141.5,3,3,6,679
"V0745",87.7,1,4,5,431.3
"V0746",127.9,3,5,46,559.8
"V0747",180.1,4,4,14,830.1
"V0748",38.4,1,5,12,231
"V0749",160.5,4,4,11,778.4
"V0750",210,6,3,16,1009.2
"V0752",73.6,1,3,9,365.2
"V0753",56.1,1,3,9,323.4
"V0754",39,2,6,10,330
"V0755",133.7,4,5,10,666.1
"V0756",120.5,5,3,8,616.2
"V0757",121.4,3,2,23,572.5
"V0758",198.2,5,3,13,924.2
"V0759",32.2,1,5,8,155.9
"V0761",125.2,5,2,15,564.7
"V0762",71.1,2,4,11,337.8
"V0763",137.2,5,3,15,615.6
"V0764",119,4,5,7,592.5
"V0765",136,3,3,11,676.8
"V0766",53.1,1,2,7,235.7
"V0767",53.4,2,2,6,269
"V0768",105.4,4,5,10,535.2
"V0769",158.2,5,3,13,770.3
"V0770",152.4,5,2,7,711.4
"V0771",203.6,5,4,11,962.4
"V0772",183.6,4,3,4,850.5
"V0773",156.8,5,4,9,785.2
"V0774",182.5,4,2,24,866.2
"V0776",73.9,3,2,6,455.9
"V0777",89.7,2,3,11,439.8
"V0778",104.4,3,4,17,603.9
"V0779",148.9,3,5,25,721
"V0780",182.7,6,2,59,757.8
"V0782",184.8,6,3,18,836.1
"V0783",28,1,3,41,182.6
"V0784",152.6,5,3,10,774.8
"V0785",183.3,6,3,11,873
"V0786",115,2,5,14,590.6
"V0787",64.7,2,5,5,346
"V0788",28.7,1,3,4,150.6
